66.86399841,747.96002197,142.70399474,748.44002195
143.17999267,747.96002197,220.60399627,748.44002195
221.08999633,747.96002197,383.70999144,748.44002195
384.19000244,747.96002197,546.83999634,748.44002195
66.38400268,672.09997558,66.86400266,747.96397399
66.86399841,671.61999511,142.70399474,672.09999509
142.69999694,672.09997558,143.18000694,747.96397399
143.17999267,671.61999511,220.60399627,672.09999509
220.61000061,672.09997558,221.09000059,747.96397399
221.08999633,671.61999511,383.70999144,672.09999509
383.70999145,672.09997558,384.19000145,747.96397399
384.19000244,671.61999511,546.83999634,672.09999509
546.84002685,672.09997558,547.32000685,747.96397399
